"event_id","event_timestamp_utc","event_type","severity","is_new","is_changed","customer_name","customer_phone","site_code","site_project_name","site_province","site_map_url","quote_no","quote_items_summary","quote_customer_price","quote_dealer_price","quote_margin","booking_id","booking_pour_datetime_utc","booking_product","booking_qty_m3","booking_truck_type","booking_plant","invoice_no","invoice_total","invoice_status","status_current_state","status_previous_state","key_detail","is_done","done_by","done_at"
"EVT-00001","2026-02-25T09:00:00Z","SITE_PENDING","INFO","true","false","Customer-01","0810000000","SC-BK-1000","Project-01","Bangkok","https://maps.google.com?q=Bangkok","QT-2026-20000","Concrete-300ksc x 4","11200","9856","1344","BK-500000","2026-02-27T09:00:00Z","Concrete-300ksc","4","Truck-8m3","Plant-Ladkrabang","INV-700000","11200","ISSUED","PENDING_APPROVAL","NEW","Auto generated sample for SITE_PENDING","false","",""
"EVT-00002","2026-02-25T09:17:00Z","QUOTE_SENT","INFO","true","false","Customer-02","0810000001","SC-BK-1001","Project-02","Bangkok","https://maps.google.com?q=Bangkok","QT-2026-20001","Concrete-300ksc x 5","14275","12562","1713","BK-500001","2026-02-27T10:00:00Z","Concrete-300ksc","5","Truck-8m3","Plant-Ladkrabang","INV-700001","14275","ISSUED","NEW","NEW","Auto generated sample for QUOTE_SENT","false","",""
"EVT-00003","2026-02-25T09:34:00Z","ADD_PRODUCT","WARN","false","false","Customer-03","0810000002","SC-BK-1002","Project-03","Bangkok","https://maps.google.com?q=Bangkok","QT-2026-20002","Concrete-300ksc x 6","17460","15365","2095","BK-500002","2026-02-27T11:00:00Z","Concrete-300ksc","6","Truck-8m3","Plant-Ladkrabang","INV-700002","17460","ISSUED","PROCESSING","NEW","Auto generated sample for ADD_PRODUCT","false","",""
"EVT-00004","2026-02-25T09:51:00Z","BOOKING_REQUEST","WARN","false","false","Customer-04","0810000003","SC-BK-1003","Project-04","Bangkok","https://maps.google.com?q=Bangkok","QT-2026-20003","Concrete-300ksc x 7","20755","18264","2491","BK-500003","2026-02-27T12:00:00Z","Concrete-300ksc","7","Truck-8m3","Plant-Ladkrabang","INV-700003","20755","ISSUED","PENDING_APPROVAL","NEW","Auto generated sample for BOOKING_REQUEST","false","",""
"EVT-00005","2026-02-25T10:08:00Z","BOOKING_CONFIRMED","INFO","false","false","Customer-05","0810000004","SC-BK-1004","Project-05","Bangkok","https://maps.google.com?q=Bangkok","QT-2026-20004","Concrete-300ksc x 8","24160","21261","2899","BK-500004","2026-02-27T13:00:00Z","Concrete-300ksc","8","Truck-8m3","Plant-Ladkrabang","INV-700004","24160","ISSUED","CONFIRMED","NEW","Auto generated sample for BOOKING_CONFIRMED","false","",""
"EVT-00006","2026-02-25T10:25:00Z","INVOICE_CREATED","INFO","false","false","Customer-06","0810000005","SC-BK-1005","Project-06","Bangkok","https://maps.google.com?q=Bangkok","QT-2026-20005","Concrete-300ksc x 9","27675","24354","3321","BK-500005","2026-02-27T14:00:00Z","Concrete-300ksc","9","Truck-8m3","Plant-Ladkrabang","INV-700005","27675","ISSUED","INVOICED","NEW","Auto generated sample for INVOICE_CREATED","false","",""
"EVT-00007","2026-02-25T10:42:00Z","PAYMENT_PENDING","ALERT","false","false","Customer-07","0810000006","SC-BK-1006","Project-07","Bangkok","https://maps.google.com?q=Bangkok","QT-2026-20006","Concrete-300ksc x 10","31300","27544","3756","BK-500006","2026-02-27T09:00:00Z","Concrete-300ksc","10","Truck-8m3","Plant-Ladkrabang","INV-700006","31300","ISSUED","PENDING_APPROVAL","NEW","Auto generated sample for PAYMENT_PENDING","false","",""
"EVT-00008","2026-02-25T10:59:00Z","PAYMENT_CONFIRMED","INFO","false","false","Customer-08","0810000007","SC-BK-1007","Project-08","Bangkok","https://maps.google.com?q=Bangkok","QT-2026-20007","Concrete-300ksc x 11","35035","30831","4204","BK-500007","2026-02-27T10:00:00Z","Concrete-300ksc","11","Truck-8m3","Plant-Ladkrabang","INV-700007","35035","ISSUED","PAID","NEW","Auto generated sample for PAYMENT_CONFIRMED","false","",""
"EVT-00009","2026-02-25T11:16:00Z","DISPATCH_LIVE","ALERT","false","false","Customer-09","0810000008","SC-BK-1008","Project-09","Bangkok","https://maps.google.com?q=Bangkok","QT-2026-20008","Concrete-300ksc x 12","38880","34214","4666","BK-500008","2026-02-27T11:00:00Z","Concrete-300ksc","12","Truck-8m3","Plant-Ladkrabang","INV-700008","38880","ISSUED","DISPATCHED","NEW","Auto generated sample for DISPATCH_LIVE","false","",""
"EVT-00010","2026-02-25T11:33:00Z","CUSTOMER_ACTION","WARN","false","false","Customer-10","0810000009","SC-BK-1009","Project-10","Bangkok","https://maps.google.com?q=Bangkok","QT-2026-20009","Concrete-300ksc x 13","42835","37695","5140","BK-500009","2026-02-27T12:00:00Z","Concrete-300ksc","13","Truck-8m3","Plant-Ladkrabang","INV-700009","42835","ISSUED","NEW","NEW","Auto generated sample for CUSTOMER_ACTION","false","",""
"EVT-00011","2026-02-25T11:50:00Z","POUR_REMINDER","ALERT","false","false","Customer-11","0810000010","SC-BK-1010","Project-11","Bangkok","https://maps.google.com?q=Bangkok","QT-2026-20010","Concrete-300ksc x 14","46900","41272","5628","BK-500010","2026-02-27T13:00:00Z","Concrete-300ksc","14","Truck-8m3","Plant-Ladkrabang","INV-700010","46900","ISSUED","PROCESSING","NEW","Auto generated sample for POUR_REMINDER","false","",""
